"world_rank","university_name","country","teaching","international","research","citations","income","total_score","num_students","student_staff_ratio","international_students","female_male_ratio","year","lon","lat"
"29","University of California, Santa Barbara","United States of America",56.6,"64.3",68,98.8,"89.8","75.0","22,020",27.3,"11%","52 : 48",2011,-117.8082831,33.6858022
"30","University of British Columbia","Canada",65.1,"93.3",74.8,80.3,"42.6","73.8","50,152",17.6,"25%","54 : 46",2011,-123.2459939,49.2606052
"30","University of North Carolina at Chapel Hill","United States of America",70.9,"21.5",75.1,85,"50.2","73.8","26,518",7.3,"8%","58 : 42",2011,-78.9399682,35.9681485
"32","University of California, San Diego","United States of America",59.8,"31.6",76.3,90.8,"51.8","73.2","27,233",6.5,"11%","48 : 52",2011,-117.2340135,32.8800604
"33","University of Illinois at Urbana-Champaign","United States of America",68.1,"55.9",80.9,72.9,"-","73.0","42,727",18.7,"20%","47 : 53",2011,-88.2271615,40.1019523
"34","National University of Singapore","Singapore",65.5,"97.8",72.6,78.7,"40.5","72.9","31,592",15.5,"34%","49 : 51",2011,7.4674717,45.7399332
"35","McGill University","Canada",69,"85.9",74.9,69,"-","71.7","31,326",13.7,"23%","56 : 44",2011,-113.9836203,46.8624181
"36","University of Melbourne","Australia",58.7,"88.0",69.2,83.3,"47.7","71.0","40,128",23.7,"35%","55 : 45",2011,144.9610796,-37.8013221
"37","Peking University","China",76.4,"68.6",61.3,72.2,"98.6","70.7","40,148",8.3,"14%","",2011,116.3065393,39.9939231
"38","Washington University in St Louis","United States of America",58.9,"56.4",63,88.6,"-","69.9","12,528",5.7,"17%","",2011,-90.3308854,38.6846489
"39","École Polytechnique","France",57.9,"77.9",56.1,91.4,"-","69.5","2,429",4.8,"30%","18 : 82",2011,-73.6130801,45.504661
"40","University of Edinburgh","United Kingdom",59.9,"67.3",61.9,86.8,"42.2","69.2","25,774",14.1,"36%","58 : 42",2011,-3.1847238,55.9462691
"41","Hong Kong University of Science and Technology","Hong Kong",50.4,"97.4",51.8,98.2,"64.1","69.0","11,385",23.8,"36%","",2011,114.2715461,22.2917485
"42","École Normale Supérieure","France",66.8,"44.9",48.2,95.7,"30.7","68.6","2,400",7.9,"20%","46 : 54",2011,-83.8126438,39.7473569
"43","Australian National University","Australia",51.9,"93.9",62.4,81,"-","67.0","14,604",19.2,"35%","52 : 48",2011,142.389278,-10.890853
"43","Karolinska Institute","Sweden",65.8,"-",72.7,62.3,"73.3","67.0","7,774",11.5,"22%","70 : 30",2011,18.0214528,59.3494376
"43","University of Göttingen","Germany",57.3,"44.5",55.9,92.5,"31.7","67.0","25,581",25.6,"12%","51 : 49",2011,9.9374004,51.5408116
"43","University of Wisconsin","United States of America",55.5,"43.7",64.6,83.4,"-","67.0","",NA,"","",2011,-89.4052247,43.0765915
"47","Rice University","United States of America",57.4,"31.2",50.6,99.1,"29.2","66.9","6,333",9,"26%","44 : 56",2011,-85.6613123,40.1136943
"48","École Polytechnique Fédérale de Lausanne","Switzerland",55,"100.0",56.1,83.8,"38.0","66.5","9,666",10.5,"54%","27 : 73",2011,6.5676007,46.5189865
"49","University of California, Irvine","United States of America",49.4,"66.3",54.7,91.6,"-","66.0","26,614",16.1,"16%","52 : 48",2011,-117.853022,33.664081
"49","University of Science and Technology of China","China",57.5,"-",48.6,92.7,"30.3","66.0","14,290",7.9,"2%","",2011,117.26217,31.838698
"51","Vanderbilt University","United States of America",64.9,"22.1",59.5,78.1,"84.2","65.9","12,161",3.6,"10%","52 : 48",2011,-73.7199435,40.7694536
"52","University of Minnesota","United States of America",57.6,"23.0",69.1,76.4,"-","65.6","46,825",18,"13%","52 : 48",2011,-93.199514,44.9743269
"53","Tufts University","United States of America",64.1,"28.3",52.3,83.9,"-","65.2","10,410",10,"14%","54 : 46",2011,-71.120482,42.4036848
"54","University of California, Davis","United States of America",57.3,"60.5",70.7,68.8,"48.0","65.0","35,364",13.9,"13%","54 : 46",2011,-121.7209826,38.5494919
"55","Brown University","United States of America",59.7,"60.5",57,77.7,"-","64.9","8,653",10.1,"19%","",2011,-83.9617862,43.514033
"56","University of Massachusetts","United States of America",61.3,"22.6",72.6,67.9,"53.9","64.7","56,959",13,"11%","49 : 51",2011,-117.3324743,33.9866891
"57","Kyoto University","Japan",78.9,"18.4",77.7,46.3,"67.1","64.6","22,809",5.6,"7%","",2011,135.7680294,35.0116363
"58","Tsinghua University","China",74.9,"43.0",66.6,52.7,"97.8","64.2","39,763",13.7,"10%","32 : 68",2011,116.3246671,39.9990443
"59","Boston University","United States of America",53.6,"38.1",51.9,91.4,"29.6","64.0","24,789",8.6,"17%","58 : 42",2011,-0.1852592,51.4925846
"60","New York University","United States of America",62,"31.8",50.7,82.9,"-","63.9","42,056",6.8,"19%","55 : 45",2011,-106.496973,31.777508
"61","Emory University","United States of America",63.4,"52.3",48.4,77.8,"-","63.0","12,338",4.5,"18%","56 : 44",2011,-80.627626,28.0658079
"61","LMU Munich","Germany",59.1,"43.1",57.5,76.4,"40.4","63.0","35,691",15.5,"13%","62 : 38",2011,11.582443,48.150942
"63","University of Notre Dame","United States of America",56.4,"35.6",45.1,89.1,"-","62.8","11,829",13.8,"10%","44 : 56",2011,-86.2377772,41.6973401
"64","University of Pittsburgh","United States of America",58.5,"25.2",58.3,78.3,"37.9","62.7","26,485",5.8,"10%","51 : 49",2011,-79.960835,40.4443533
"65","Case Western Reserve University","United States of America",67.2,"56.5",53.8,66,"-","62.2","9,259",6.4,"17%","48 : 52",2011,-81.6083838,41.5043413
"66","Ohio State University","United States of America",63.5,"64.0",54.9,67.2,"-","62.1","51,462",13.4,"12%","49 : 51",2011,-83.0227103,39.9993865
"67","University of Colorado Boulder","United States of America",46.4,"31.7",58.1,83.4,"-","61.6","29,325",16.1,"8%","45 : 55",2011,-105.2627072,40.0071656
"68","University of Bristol","United Kingdom",49.6,"67.2",53.1,80.9,"36.2","61.4","17,906",14,"25%","53 : 47",2011,-2.6259899,51.4771065
"68","University of California, Santa Cruz","United States of America",38.3,"16.7",50.4,99.6,"-","61.4","17,404",22.7,"1%","53 : 47",2011,-117.3163115,33.981043
"68","Yeshiva University","United States of America",63.5,"53.3",46.7,74.4,"-","61.4","6,753",5.5,"7%","53 : 47",2011,111.0957348,33.4442576
"71","University of Sydney","Australia",49.8,"89.6",61.9,64.3,"90.8","61.2","41,868",20.2,"28%","57 : 43",2011,149.6612155,-30.4730963
"72","University of Virginia","United States of America",62,"42.2",55.4,68.6,"-","61.1","23,845",10.2,"12%","52 : 48",2011,-93.1147395,44.9494426
"73","University of Adelaide","Australia",46.5,"87.5",38.8,90.5,"52.7","60.7","20,771",30.1,"26%","48 : 52",2011,138.6090143,-34.9103022
"73","University of Southern California","United States of America",65.4,"31.2",48.7,71.9,"-","60.7","36,534",12.9,"20%","52 : 48",2011,-117.2914463,34.1036186
"75","William & Mary","United States of America",53.1,"20.9",36.1,95.6,"-","60.4","7,867",11.8,"7%","54 : 46",2011,-77.1485163,37.7372121
"76","Trinity College Dublin","Republic of Ireland",47.7,"84.2",45.3,84.4,"31.6","60.3","15,521",18,"25%","57 : 43",2011,-6.2576899,53.3454782
"77","King’s College London","United Kingdom",48.5,"85.9",54.5,72.1,"44.1","59.7","21,394",11.4,"37%","61 : 39",2011,-0.0890873,51.4699486
"78","Stony Brook University","United States of America",48.5,"52.2",43.6,85.8,"-","59.6","21,908",10.9,"24%","50 : 50",2011,-73.1146681,40.9098883
"79","Korea Advanced Institute of Science and Technology (KAIST)","South Korea",71.3,"36.7",63.4,45.5,"100.0","59.5","9,027",10,"9%","20 : 80",2011,127.3640249,36.3693921
"79","University of Sussex","United Kingdom",42.4,"72.8",42.4,91.6,"29.1","59.5","12,001",17.4,"35%","54 : 46",2011,-0.7756403,50.8443366
"81","The University of Queensland","Australia",51.8,"74.2",53.4,69,"57.1","59.1","34,718",32.7,"27%","53 : 47",2011,151.9287869,-27.6061106
"81","University of York","United Kingdom",47.9,"66.6",46.2,81.9,"36.2","59.1","",NA,"","",2011,-104.9603049,39.6818471
"83","Heidelberg University","Germany",59.2,"63.4",47.5,70.3,"39.1","59.0","28,881",24.5,"17%","55 : 45",2011,-77.576748,43.1700966
"83","University of Utah","United States of America",55.8,"22.5",54.2,72,"-","59.0","25,674",16.9,"9%","45 : 55",2011,-111.8884532,33.4249307
"85","Durham University","United Kingdom",39.8,"65.7",44.1,91,"33.9","58.9","15,489",15.7,"24%","54 : 46",2011,-1.5782029,54.7649859
"86","London School of Economics and Political Science","United Kingdom",62.4,"99.5",56.2,51.6,"38.4","58.3","",NA,"","",2011,-0.1173766,51.5144077
"87","University of Manchester","United Kingdom",56.5,"79.1",56.2,59.2,"39.0","58.0","34,938",15.3,"34%","52 : 48",2011,-90.3332427,38.6129798
"88","Royal Holloway, University of London","United Kingdom",37.7,"92.9",36.2,93.2,"30.5","57.9","8,747",15.9,"37%","57 : 43",2011,-0.5630625,51.425673
"89","Lund University","Sweden",46.3,"56.8",60.8,67.6,"33.2","57.8","28,251",11.5,"15%","",2011,-87.7106499,41.9722799
"90","University of Southampton","United Kingdom",50.8,"69.0",47.8,72.9,"37.7","57.7","20,925",13.5,"29%","53 : 47",2011,-1.3962068,50.9340275
"90","University of Zurich","Switzerland",56.6,"87.9",47,65,"43.8","57.7","26,583",6.5,"19%","57 : 43",2011,8.5595886,47.3588302
"90","Wake Forest University","United States of America",54.6,"24.4",42.9,79.2,"-","57.7","7,326",4.6,"5%","51 : 49",2011,-76.9359658,38.97546
"93","McMaster University","Canada",44.7,"-",58.7,68.5,"-","57.6","23,823",19.3,"15%","53 : 47",2011,-81.0261039,34.0026819
"94","University College Dublin","Republic of Ireland",42.4,"87.0",36.6,86.3,"-","57.5","22,193",24.5,"23%","",2011,-6.2168851,53.305257
"95","George Washington University","United States of America",60.6,"39.6",43.1,70.2,"-","57.3","20,541",12,"16%","56 : 44",2011,-77.0470916,38.8991756
"95","University of Arizona","United States of America",52.4,"21.9",52.2,70.1,"84.2","57.3","36,429",12.7,"8%","52 : 48",2011,-82.4530718,28.067177
"95","University of Basel","Switzerland",50.2,"91.3",37.1,78.3,"45.8","57.3","12,551",17.3,"24%","54 : 46",2011,36.2776484,33.5117629
"98","University of Maryland, College Park","United States of America",45.4,"35.4",48.6,79.2,"-","57.2","31,331",8.4,"9%","48 : 52",2011,-76.9367935,38.9920364
"99","Dartmouth College","United States of America",44.7,"31.0",49.2,79.7,"-","57.1","6,178",6.6,"16%","47 : 53",2011,-91.6514459,41.92479
"100","École Normale Supérieure de Lyon","France",51.1,"37.6",34.4,88.8,"26.1","57.0","2,218",8,"14%","49 : 51",2011,4.829049,45.731469
"101","Technical University of Munich","Germany",50.4,"85.3",43.2,71.2,"-","56.9","35,565",31.5,"20%","33 : 67",2011,19.2402603,52.0563394
"102","University of Helsinki","Finland",49,"24.2",51.4,75.4,"30.2","56.6","23,505",15.1,"6%","66 : 34",2011,-99.1698567,19.3049111
"103","University of St Andrews","United Kingdom",44.8,"85.7",47.7,72.9,"32.6","56.5","8,338",12.7,"47%","56 : 44",2011,-2.7930852,56.3412112
"104","Rensselaer Polytechnic Institute","United States of America",50.5,"48.0",54.6,64.9,"-","56.4","6,671",15,"16%","30 : 70",2011,-73.6788026,42.730172
"105","Rutgers, the State University of New Jersey","United States of America",53.4,"26.8",64.7,55.7,"-","56.3","37,032",17.3,"8%","51 : 49",2011,-74.1741891,40.7416983
"106","Purdue University","United States of America",57,"62.6",67.8,43.9,"-","56.2","39,256",18.1,"22%","42 : 58",2011,-87.0541793,40.4533683
"107","National Tsing Hua University","Taiwan",52.2,"34.1",52.6,66.9,"50.2","56.1","10,221",13.5,"5%","33 : 67",2011,120.99678,24.797079
"107","University of Cape Town","South Africa",36.6,"83.3",42.1,82.8,"-","56.1","20,040",12.1,"18%","53 : 47",2011,18.415091,-33.925967
"109","Pennsylvania State University","United States of America",46.3,"19.9",49.2,77.6,"44.0","56.0","44,501",12.4,"12%","46 : 54",2011,-77.8608888,40.8072337
"109","Seoul National University","South Korea",62.3,"44.9",54.1,54.6,"43.0","56.0","26,389",13.9,"10%","",2011,126.952712,37.48121
"111","Hong Kong Baptist University","Hong Kong",32.9,"71.8",32.5,97.6,"26.7","55.6","10,441",11,"25%","61 : 39",2011,114.181587,22.337943
"112","Bilkent University","Turkey",34.3,"47.7",36.1,95.7,"32.4","55.4","",NA,"","",2011,32.7475962,39.8746147
"112","Tokyo Institute of Technology","Japan",62.9,"24.8",63.4,45.5,"60.5","55.4","9,586",7.3,"13%","13 : 87",2011,139.6835302,35.6051229
"114","Eindhoven University of Technology","Netherlands",55.4,"44.9",51.7,56.9,"99.8","55.3","8,176",16,"14%","19 : 81",2011,5.4907148,51.4486098
"115","National Taiwan University","Taiwan",50.3,"29.2",59,61.6,"35.7","55.2","31,891",11.9,"7%","39 : 61",2011,121.518577,25.041471
"115","University of Hawai’i at Mānoa","United States of America",38.3,"34.2",47.6,81,"-","55.2","",NA,"","",2011,-157.818968,21.3
"117","University of California, Riverside","United States of America",38.6,"63.0",47.4,78.3,"30.5","55.1","20,626",22,"12%","51 : 49",2011,-117.3280644,33.9737055
"118","University of Geneva","Switzerland",46.6,"95.7",49.7,63.1,"32.7","55.0","15,668",15,"39%","61 : 39",2011,6.1011686,46.2247046
"119","KU Leuven","Belgium",57.7,"29.6",62.9,45.2,"97.7","54.8","42,503",41.9,"18%","54 : 46",2011,4.7005176,50.8798438
"120","Nanjing University","China",52.2,"50.2",46.2,66,"43.4","54.6","29,743",13.3,"10%","46 : 54",2011,118.7809448,32.0569463
"120","Queen Mary University of London","United Kingdom",39.7,"91.0",44.1,73.5,"38.9","54.6","14,260",14,"40%","52 : 48",2011,-0.0591022,51.5169409
"122","Michigan State University","United States of America",50.4,"30.4",52.7,63.7,"-","54.5","44,750",15.7,"15%","51 : 49",2011,-83.7333394,42.2752422
"122","Technical University of Denmark","Denmark",46.2,"64.0",46.9,64.6,"95.5","54.5","9,990",5,"18%","27 : 73",2011,9.9785216,57.0149963
"124","Ghent University","Belgium",52.8,"24.7",59.1,52.8,"97.1","54.4","32,166",34.1,"9%","57 : 43",2011,-123.1884423,49.2669654
"124","Lancaster University","United Kingdom",43.5,"73.8",41.9,74.9,"28.8","54.4","11,512",14.9,"33%","52 : 48",2011,-2.7850105,54.0101034
"124","Leiden University","Netherlands",47.3,"40.0",54.9,59.3,"100.0","54.4","21,222",17.1,"10%","59 : 41",2011,4.481357,52.1569487
"127","University of Alberta","Canada",53.7,"71.6",58,49.7,"44.5","54.3","36,299",21.6,"23%","55 : 45",2011,-113.5490268,53.4943212
"128","University of Glasgow","United Kingdom",45.6,"55.1",50.3,65.1,"61.0","54.2","22,616",16,"29%","57 : 43",2011,-4.288761,55.87151
"129","Stockholm University","Sweden",36.9,"-",49.2,75.9,"31.7","54.0","31,715",23.7,"8%","62 : 38",2011,-81.5636262,41.4685433
"130","Osaka University","Japan",61.7,"20.1",63.4,40,"73.4","53.4","23,144",7.8,"9%","31 : 69",2011,-99.1462101,19.2848865
"130","University of Victoria","Canada",32.9,"-",48.3,79.1,"27.4","53.4","17,581",21.5,"11%","56 : 44",2011,-117.8567958,33.6304814
"132","Tohoku University","Japan",60.3,"20.1",62.5,41.2,"82.3","53.3","17,200",5,"7%","25 : 75",2011,140.874074,38.253834
"132","University of Freiburg","Germany",52.4,"46.2",41.4,64.3,"79.8","53.3","26,467",31.2,"16%","52 : 48",2011,7.8493126,48.0028354
"132","University of Iowa","United States of America",48.6,"31.7",59.8,54.8,"-","53.3","27,526",11.6,"11%","52 : 48",2011,-117.3398859,33.9790905
"135","University of Bergen","Norway",39.9,"66.6",42.1,73.1,"41.5","52.7","11,623",11.1,"12%","60 : 40",2011,-74.1913563,40.7424432
"136","University of Lausanne","Switzerland",43.1,"84.1",50.5,59.1,"42.5","52.6","11,964",13.1,"22%","",2011,6.6528621,46.5287859
"137","University of Sheffield","United Kingdom",48.9,"62.7",49.2,58.4,"40.3","52.5","23,311",15.5,"31%","50 : 50",2011,-1.48406,53.38071
"138","University of Montreal","Canada",56.1,"-",49.4,51.9,"-","52.4","38,264",20.3,"25%","57 : 43",2011,-90.350862,38.6816147
"139","VU University Amsterdam","Netherlands",47.6,"30.6",51.6,58.5,"81.4","52.3","23,280",16.3,"6%","56 : 44",2011,4.8658302,52.3344753
"140","Pierre and Marie Curie University","France",51.9,"30.7",37.2,71.5,"26.4","52.2","27,862",8.7,"18%","48 : 52",2011,2.357499,48.8471036
"140","University of Dundee","United Kingdom",34.1,"54.4",41,79.3,"49.3","52.2","11,628",15.3,"25%","60 : 40",2011,-82.4316809,28.0619082
"142","University of Barcelona","Spain",34.1,"22.3",33.7,91.9,"30.0","52.1","47,491",12.2,"10%","62 : 38",2011,-117.8207002,33.6766692
"143","Utrecht University","Netherlands",43.4,"52.6",53,58.8,"55.3","52.0","30,779",15.4,"7%","59 : 41",2011,5.1214201,52.0907374
"144","Wageningen University and Research Center","Netherlands",58.5,"24.3",48.8,53,"-","51.9","9,248",17,"21%","56 : 44",2011,5.6653948,51.9691868
"145","University of Auckland","New Zealand",34.8,"94.3",39.2,71.8,"61.1","51.8","29,787",18.9,"28%","54 : 46",2011,174.7699782,-36.8490661
"145","University of Birmingham","United Kingdom",50.3,"73.8",50.7,52.1,"34.8","51.8","25,295",16.4,"23%","54 : 46",2011,-1.93668,52.45126
"147","Alexandria University","Egypt",29.5,"19.3",28,99.8,"36.0","51.6","127,431",23.3,"1%","46 : 54",2011,-117.8205127,33.6817395
"147","Uppsala University","Sweden",49.6,"77.9",62.2,40.7,"39.5","51.6","25,266",18.2,"12%","57 : 43",2011,17.6300093,59.8509005
"149","Hong Kong Polytechnic University","Hong Kong",39.4,"82.9",45.7,62.4,"57.2","51.4","22,064",25.9,"26%","51 : 49",2011,114.178928,22.302516
"149","University of Aberdeen","United Kingdom",37.8,"86.1",45.2,64.6,"47.0","51.4","12,938",15.8,"33%","54 : 46",2011,-82.4317193,28.0653457
"151","Delft University of Technology","Netherlands",55.5,"47.4",67.7,29,"99.4","51.3","15,920",19.4,"25%","26 : 74",2011,4.3570677,52.0115769
"152","Birkbeck, University of London","United Kingdom",41.2,"88.5",35.8,70.6,"27.4","51.2","9,454",17.2,"38%","55 : 45",2011,-0.130217,51.5219285
"152","Newcastle University","United Kingdom",42.7,"80.5",42.8,63.6,"31.1","51.2","20,174",15.2,"29%","50 : 50",2011,151.710005,-32.8871981
"152","University of New South Wales","Australia",49.5,"70.7",48.9,51.2,"60.0","51.2","38,309",25.9,"33%","47 : 53",2011,151.710005,-32.8871981
"155","Pompeu Fabra University","Spain",35,"44.1",33,84.7,"40.0","51.1","10,901",18.3,"13%","59 : 41",2011,2.1790535,41.3793687
"156","Indiana University","United States of America",48.5,"37.7",42.5,63.2,"-","51.0","62,468",13.6,"13%","53 : 47",2011,-86.5269373,39.1670467
"156","Iowa State University","United States of America",49.3,"23.2",49.6,58.2,"49.6","51.0","29,991",17.4,"11%","44 : 56",2011,-93.6396252,42.0277899
"158","Georgia Health Sciences University","United States of America",67.3,"16.3",41.7,48.9,"50.1","50.7","",NA,"","",2011,-82.9000751,32.1656221
"159","Erasmus University Rotterdam","Netherlands",39.4,"58.6",43.6,65.5,"-","50.4","20,580",18.9,"18%","48 : 52",2011,4.525585,51.91752
"159","University of Delaware","United States of America",38.4,"16.8",51.9,61.3,"100.0","50.4","19,262",15.9,"10%","56 : 44",2011,-117.7759092,33.7105331
"161","Arizona State University","United States of America",43,"24.1",44.1,66.9,"-","50.3","83,236",29.9,"9%","50 : 50",2011,-111.9339825,33.4205343
"161","Boston College","United States of America",40.1,"31.6",33.6,78,"-","50.3","13,216",17.4,"19%","54 : 46",2011,-0.0147452,52.9733763
"163","National Sun Yat-Sen University","Taiwan",46.1,"21.3",50.6,58.9,"37.5","50.2","9,336",19.6,"4%","37 : 63",2011,120.265922,22.625005
"164","Georgetown University","United States of America",65.1,"24.7",44.7,45,"-","50.1","15,408",8.5,"14%","53 : 47",2011,-77.0722585,38.9076089
"165","University of Amsterdam","Netherlands",42.5,"38.2",49.2,60.2,"38.8","50.0","24,570",14.4,"11%","53 : 47",2011,4.9470315,52.3561962
"165","University of Liverpool","United Kingdom",40.8,"59.8",47.8,59.6,"40.6","50.0","18,815",13.6,"30%","52 : 48",2011,-2.9655722,53.405936
"167","Aarhus University","Denmark",38.1,"33.4",55.6,57.3,"61.5","49.9","23,895",13.6,"14%","54 : 46",2011,12.1021324,55.695402
"168","University of Leeds","United Kingdom",46.2,"50.0",48,55.6,"38.3","49.8","27,703",14.7,"21%","58 : 42",2011,-82.4315563,28.0637104
"168","University of Würzburg","Germany",48.7,"40.3",40.9,60.4,"-","49.8","26,576",38.4,"8%","57 : 43",2011,9.9533548,49.7913044
"170","University of Groningen","Netherlands",41.7,"35.5",56.4,54.1,"34.2","49.7","24,556",25.6,"12%","52 : 48",2011,6.5665018,53.2193835
"171","Sun Yat-sen University","China",46.2,"29.3",34.7,70.2,"41.2","49.6","51,351",16.6,"8%","51 : 49",2011,113.29947,23.103702
"172","Goethe University Frankfurt","Germany",39.2,"56.1",37.3,69.5,"41.6","49.4","31,861",9.3,"15%","60 : 40",2011,8.6293081,50.1703746
"173","Bielefeld University","Germany",39.9,"-",35.7,70.4,"-","49.3","21,428",67.8,"8%","57 : 43",2011,8.4963449,52.0354177
"174","Nanyang Technological University","Singapore",43.6,"96.3",51.7,45,"40.0","49.0","25,028",16.2,"33%","48 : 52",2011,-120.554501,34.865784
"174","University of East Anglia","United Kingdom",42.1,"62.8",40.4,62.8,"29.7","49.0","14,992",14.7,"28%","58 : 42",2011,1.2406141,52.6184758
"174","University of Nottingham","United Kingdom",46.8,"74.8",44.1,52.5,"38.4","49.0","30,144",15,"27%","54 : 46",2011,-1.1951582,52.938636
"177","University of Copenhagen","Denmark",44.1,"45.8",45.7,58.3,"26.1","48.8","27,545",4.1,"19%","67 : 33",2011,121.0990078,14.6064499
"178","Humboldt University of Berlin","Germany",50.9,"46.1",44.5,52,"27.8","48.5","29,987",52.5,"16%","",2011,13.5333041,52.4321218
"178","Monash University","Australia",39.4,"87.1",38.8,60.5,"40.8","48.5","50,882",40.5,"36%","56 : 44",2011,145.1340508,-38.1532011
"178","University of Bonn","Germany",46.8,"46.8",33.8,65.3,"29.4","48.5","32,474",70.4,"13%","55 : 45",2011,121.1009535,14.6051887
"181","National Chiao Tung University","Taiwan",53.2,"57.9",54.4,32.9,"98.7","48.3","12,646",16.6,"5%","27 : 73",2011,120.294197,22.925346
"182","RWTH Aachen University","Germany",50,"63.8",42.5,48.9,"56.6","48.2","37,917",27.6,"16%","31 : 69",2011,6.0656869,50.7800778
"183","Middle East Technical University","Turkey",39.5,"27.2",39.5,66.4,"43.9","47.7","25,779",22.2,"7%","44 : 56",2011,33.0307541,35.246756
"184","University of Exeter","United Kingdom",40.4,"62.8",42.5,57.9,"32.2","47.6","17,755",18.8,"28%","54 : 46",2011,-117.8296666,33.6508563
"185","University of Twente","Netherlands",49.9,"62.4",48.3,42,"49.8","47.5","6,631",12,"26%","37 : 63",2011,6.8524128,52.2410326
"186","University of Konstanz","Germany",42.7,"93.6",40.1,51.3,"-","47.3","10,930",59.1,"12%","54 : 46",2011,-112.0125261,33.3752269
"187","Karlsruhe Institute of Technology","Germany",45,"47.3",35.4,60.7,"40.0","47.2","25,294",24.6,"16%","26 : 74",2011,8.4170303,49.0119199
